GUID,First Name,Middle,Last Name,Suffix,Professional Title,School,Affiliation
1,Musa,,Aner,MD,,,Harvard Medical School
2,Carolyn,,Bernstein,MD,,,Harvard Medical School
3,Mary,,Buss,MD,,,Harvard Medical School
4,Divya,,Chirumamilla,MD,,,Harvard Medical School
5,Jatinder,,Gill ,MD,,,Harvard Medical School
6,Christopher,,Gilligan,"MD, MBA",,,Harvard Medical School
7,Gary,,Horowitz,MD,,,Harvard Medical School
8,Jonathan,,Kleefield,MD,,,Harvard Medical School
9,Anthony,,Lee,MD,,,Harvard Medical School
10,Jyotsna,,Nagda,MD,,,Harvard Medical School
11,John,,Pawlowski,"MD, PhD",,,Harvard Medical School
12,Thomas,,Simopoulos,"MD, MA",,,Harvard Medical School
13,Carol,,Warfield,MD,,,Harvard Medical School
14,Joshua,,Wootton,"MDiv, PhD",,,Harvard Medical School
15,Mark,,Young,MD,,,Harvard Medical School
16,Joseph,,Audette,"MA, MD",,,Harvard Medical School
17,Robert ,,Jamison,PhD,,,Harvard Medical School
18,Edward ,,Michna,"MD, JD",,,Harvard Medical School
19,Pierre,,D'Hemecourt,MD,,,Harvard Medical School
20,Alyssa,,LeBel,MD,,,Harvard Medical School
21,Andrea,,Stracciolini,MD,,,Harvard Medical School
22,Herbert,,Benson,MD,,,Harvard Medical School
23,Adam,,Carinci,MD,,,Harvard Medical School
24,Joshua,,Hirsch,"MD, PhD",,,Harvard Medical School
25,Mihir,,Kamdar,MD,,,Harvard Medical School
26,Ronald ,,Kulich,PhD,,,Harvard Medical School
27,Paul,,Mathew,"MD, FAHS",,,Harvard Medical School
28,James,,Rathmell,MD,,,Harvard Medical School
29,Steven,,Scrivani,"DDS, DMed, SC",,,Harvard Medical School
30,Ellen,,Slawsby,PhD,,,Harvard Medical School
31,Peter,,Stefanovich,MD,,,Harvard Medical School
32,Brian,,Wainger,PhD,,,Harvard Medical School
33,James,,Rainville,MD,,,Harvard Medical School
34,Eric,,Woodard,MD,,,Harvard Medical School
35,Allison,,Bailey,MD,,,Harvard Medical School
36,Bridget,,Chin,MD,,,Harvard Medical School
37,Zahid,,"Bajwa, ",MD,"Director, Boston Pain Care Center",,Guest Faculty
38,Matthew,,Kowalski,DC,"New England Spine Institute, PC",,Guest Faculty
39,Daniel,,Carr,MD,"Saltonstall Professor of Pain Research, Department of Anesthesia",Tufts Medical School,Guest Faculty
40,Brian ,,McGeeney,"MD, MPH",Assistant Professor of Neurology,Boston University School of Medicine,Guest Faculty
41,Lee,,Simon,MD,"Principal, SDG LLC",,Guest Faculty
42,Alan,,Wartentberg,MD,"Assistant Professor of Medicine, Tufts University; Medical Director, Discovery House Programs",,Guest Faculty
