GUID,Start Day and Time,End Day and Time,Header,Title,Description
1,6/1/2015 7:00,6/1/2015 8:00,,Course Registration & Continental Breakfast,
2,6/1/2015 8:00,6/1/2015 8:05,"Moderator - Carol Warfield, MD",Welcome and Introductory Remarks,"Carol Warfield, MD"
3,6/1/2015 8:05,6/1/2015 8:45,"Moderator - Carol Warfield, MD",The Evolution of Pain Mangement,"Carol Warfield, MD"
4,6/1/2015 8:45,6/1/2015 9:30,"Moderator - Carol Warfield, MD",Pain and the Brain,"Brain Wainger, PhD"
5,6/1/2015 9:30,6/1/2015 10:15,"Moderator - Carol Warfield, MD",Musculoskeletal Evaluation of the Patient in Pain,"Joseph Audette, MA, MD"
6,6/1/2015 10:15,6/1/2015 10:30,"Moderator - Carol Warfield, MD",Break,
7,6/1/2015 10:30,6/1/2015 11:15,"Moderator - Carol Warfield, MD",Neurologic Evaluation of the Patient in Pain,"Zahid Bajwa, MD"
8,6/1/2015 11:15,6/1/2015 12:00,"Moderator - Carol Warfield, MD",Disability Evaluation,"Anthony Lee, MD"
9,6/1/2015 12:00,6/1/2015 12:30,"Moderator - Carol Warfield, MD",Panel Discussion,"Drs. Audette, Bajwa, Lee, Wainger, Warfield "
10,6/1/2015 12:30,6/1/2015 13:45,"Moderator - Carol Warfield, MD",Lunch (on your own),
11,6/1/2015 13:45,6/1/2015 14:30,"Moderator - Christopher Gilligan, MD, MBA",Fibromyalgia and Myofascial Pain,"Joseph Audette, MA, MD"
12,6/1/2015 14:30,6/1/2015 15:15,"Moderator - Christopher Gilligan, MD, MBA",Physical Medicine and Rehabilitative Issues in Pain Medicine,"James Rainville, MD"
13,6/1/2015 15:15,6/1/2015 15:30,"Moderator - Christopher Gilligan, MD, MBA",Break,
14,6/1/2015 15:30,6/1/2015 16:30,"Moderator - Christopher Gilligan, MD, MBA",Complementary and Alternative Approaches in Pain Medicine,"Joseph Audette, MA, MD"
15,6/1/2015 16:30,6/1/2015 17:00,"Moderator - Christopher Gilligan, MD, MBA",Chiropractic Treatment of Pain,"Matthew Kowalski, DC"
